Cluster Index	Z	x	y	z	
5	6.12	-48.1	-73.7	-9.23
5	5.99	-38.1	-53.4	-17.9
5	5.76	-29.6	-73.8	-16.9
5	5.74	-25.5	-80.4	-15.3
5	5.66	-33.7	-66.7	-14.7
5	5.16	-41.2	-63.7	-15.5
4	5.27	-38.3	20.7	13.2
4	5.12	-45.5	17.8	-6.64
4	4.94	-34	8.83	28.3
4	4.51	-59.8	7.35	-0.404
4	4.44	-53.7	32	-2.08
4	4.38	-53.3	23.3	12.2
3	5.84	0.788	-87.2	3.23
3	5.61	16.1	-96.6	5.82
3	4.72	47.7	-60.7	-26.5
3	4.64	30.3	-83.3	-5.18
3	4.52	27.3	-98.4	14.6
3	4.19	33.6	-74.5	-19.4
2	4.81	-59.7	-65.5	4.81
2	4.37	-56.7	-53.1	18.2
2	2.81	-67.4	-61	15.8
2	2.66	-57.2	-42.6	-8.74
2	2.6	-53.5	-43.8	7.9
1	4.67	-8.35	15.1	39.6
1	3.13	-9.13	30.5	23.7
1	3.05	-19.6	17.4	34.7
